start_time;ActiveEnergy;PODID;CurrentLine1;CurrentLine2;CurrentLine3;PowerFactorPhase1;PowerFactorPhase2;PowerFactorPhase3;ReactivePowerPhase1;ReactivePowerPhase2;ReactivePowerPhase3;ActivePowerPhase1;ActivePowerPhase2;ActivePowerPhase3;VoltagePhase1;VoltagePhase2;VoltagePhase3;ApparentPowerPhase1;ApparentPowerPhase2;ApparentPowerPhase3;TotalActivePower;TotalApparentPower;TotalReactivePower;ReactiveEnergy
2020-06-30T00:00:00;172.98;UVAX;2.37;2.51;2.58;1.0;0.9;0.97;14.42;236.22;133.58;524.03;496.33;556.15;226.57;225.63;226.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-06-30T00:15:00;172.99;UVAX;2.37;2.51;2.59;1.0;0.9;0.97;16.37;236.57;135.92;489.94;497.1;557.53;226.97;226.03;226.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-06-30T00:30:00;172.99;UVAX;2.36;2.51;2.59;1.0;0.9;0.97;20.73;236.45;133.56;521.83;496.53;557.3;226.69;225.69;226.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-06-30T00:45:00;172.0;UVAX;2.35;2.51;2.57;1.0;1.59;0.97;21.59;235.68;140.7;517.39;494.89;549.81;225.68;224.71;225.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-06-30T01:00:00;173.34;UVAX;2.34;2.51;2.4;1.0;1.59;0.97;22.98;235.38;138.31;515.67;493.7;550.03;210.27;224.29;224.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-06-30T01:15:00;173.87;UVAX;2.35;2.51;2.57;1.0;0.9;0.97;18.37;235.7;137.66;518.83;494.11;550.62;225.58;224.6;225.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-06-30T01:30:00;173.99;UVAX;2.37;2.51;2.58;1.0;0.92;0.97;12.45;235.52;135.81;524.28;496.2;554.46;226.32;225.26;225.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-06-30T01:45:00;172.92;UVAX;0.94;2.22;1.58;0.92;0.85;0.87;19.4;253.42;136.71;202.92;413.21;316.09;227.29;226.16;226.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-06-30T02:00:00;167.5;UVAX;0.22;2.08;1.09;1.54;0.82;0.81;24.16;261.0;139.32;40.49;371.09;195.63;226.75;225.59;211.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-06-30T02:15:00;167.76;UVAX;0.22;2.08;1.09;0.86;0.82;0.81;24.13;260.13;139.98;40.46;371.01;194.95;226.08;224.97;225.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0
